| epoch 030 | loss 7.053 | ppl 132.77 | wps 761 | ups 4.4 | wpb 170 | bsz 11 | num_updates 366944 | lr 0.001 | gnorm 3.428 | clip 0% | oom 0 | wall 21920 | train_wall 76993
| epoch 031 | loss 6.988 | ppl 126.95 | wps 756 | ups 4.4 | wpb 170 | bsz 11 | num_updates 379177 | lr 0.001 | gnorm 3.443 | clip 0% | oom 0 | wall 24708 | train_wall 79593
| epoch 032 | loss 6.924 | ppl 121.42 | wps 755 | ups 4.4 | wpb 170 | bsz 11 | num_updates 391410 | lr 0.001 | gnorm 3.459 | clip 0% | oom 0 | wall 27501 | train_wall 82193
| epoch 033 | loss 6.862 | ppl 116.33 | wps 754 | ups 4.4 | wpb 170 | bsz 11 | num_updates 403643 | lr 0.001 | gnorm 3.467 | clip 0% | oom 0 | wall 30299 | train_wall 84797
| epoch 034 | loss 6.799 | ppl 111.38 | wps 756 | ups 4.4 | wpb 170 | bsz 11 | num_updates 415876 | lr 0.001 | gnorm 3.471 | clip 0% | oom 0 | wall 33089 | train_wall 87396
| epoch 035 | loss 6.742 | ppl 107.03 | wps 753 | ups 4.4 | wpb 170 | bsz 11 | num_updates 428109 | lr 0.001 | gnorm 3.479 | clip 0% | oom 0 | wall 35891 | train_wall 90001
| epoch 036 | loss 6.684 | ppl 102.81 | wps 752 | ups 4.4 | wpb 170 | bsz 11 | num_updates 440342 | lr 0.001 | gnorm 3.485 | clip 0% | oom 0 | wall 38696 | train_wall 92611
| epoch 037 | loss 6.627 | ppl 98.84 | wps 756 | ups 4.4 | wpb 170 | bsz 11 | num_updates 452575 | lr 0.001 | gnorm 3.492 | clip 0% | oom 0 | wall 41483 | train_wall 95210
| epoch 038 | loss 6.574 | ppl 95.28 | wps 751 | ups 4.4 | wpb 170 | bsz 11 | num_updates 464808 | lr 0.001 | gnorm 3.492 | clip 0% | oom 0 | wall 44293 | train_wall 97818
| epoch 039 | loss 6.517 | ppl 91.61 | wps 752 | ups 4.4 | wpb 170 | bsz 11 | num_updates 477041 | lr 0.001 | gnorm 3.491 | clip 0% | oom 0 | wall 47103 | train_wall 100425
| epoch 040 | loss 6.468 | ppl 88.51 | wps 753 | ups 4.4 | wpb 170 | bsz 11 | num_updates 489274 | lr 0.001 | gnorm 3.500 | clip 0% | oom 0 | wall 49899 | train_wall 103030
| epoch 041 | loss 6.417 | ppl 85.47 | wps 752 | ups 4.4 | wpb 170 | bsz 11 | num_updates 501507 | lr 0.001 | gnorm 3.496 | clip 0% | oom 0 | wall 52707 | train_wall 105638
| epoch 042 | loss 6.367 | ppl 82.53 | wps 755 | ups 4.4 | wpb 170 | bsz 11 | num_updates 513740 | lr 0.001 | gnorm 3.496 | clip 0% | oom 0 | wall 55501 | train_wall 108240
| epoch 043 | loss 6.317 | ppl 79.75 | wps 751 | ups 4.4 | wpb 170 | bsz 11 | num_updates 525973 | lr 0.001 | gnorm 3.497 | clip 0% | oom 0 | wall 58310 | train_wall 110848
| epoch 044 | loss 6.272 | ppl 77.30 | wps 752 | ups 4.4 | wpb 170 | bsz 11 | num_updates 538206 | lr 0.001 | gnorm 3.497 | clip 0% | oom 0 | wall 61116 | train_wall 113456
| epoch 045 | loss 6.226 | ppl 74.86 | wps 755 | ups 4.4 | wpb 170 | bsz 11 | num_updates 550439 | lr 0.001 | gnorm 3.500 | clip 0% | oom 0 | wall 63914 | train_wall 116057
| epoch 046 | loss 5.971 | ppl 62.72 | wps 752 | ups 4.4 | wpb 170 | bsz 11 | num_updates 562672 | lr 0.0001 | gnorm 3.415 | clip 0% | oom 0 | wall 66714 | train_wall 118663
| epoch 047 | loss 5.920 | ppl 60.57 | wps 750 | ups 4.3 | wpb 170 | bsz 11 | num_updates 574905 | lr 0.0001 | gnorm 3.436 | clip 0% | oom 0 | wall 69527 | train_wall 121274
| epoch 048 | loss 5.901 | ppl 59.75 | wps 751 | ups 4.4 | wpb 170 | bsz 11 | num_updates 587138 | lr 0.0001 | gnorm 3.453 | clip 0% | oom 0 | wall 72338 | train_wall 123883
| epoch 049 | loss 5.885 | ppl 59.09 | wps 755 | ups 4.4 | wpb 170 | bsz 11 | num_updates 599371 | lr 0.0001 | gnorm 3.465 | clip 0% | oom 0 | wall 75131 | train_wall 126484
